Message,upFeatureList,Spam_Ham
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",64 0 16 127 80 0 48 0 0 0 37,0
Ok lar... Joking wif u oni...,0,0
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1473 0 1499 0 1996 1999 772 1185 352 0,1
U dun say so early hor... U c already then say...,27242 16241,0
"Nah I don't think he goes to usf, he lives around here though",146 0 135 0 0,0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",260 8 0 368 323 48 0 40 34 128 19,1
Even my brother is not like to speak with me. They treat me like aids patent.,41576 30955 24704,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,365391 523774 522111 344326 409596 432642,0
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0 8191 7919 8175 8063 362 255 7855 8188,1
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,224 0 93 244 0 138 152 57 123 39 42 41 3 231,1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",97 124 30 127 30 0 0 47 36 72 62,0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",224 7 231 0 17 0 175 231 255 40 32 255,1
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",2 0 127 123 0 111 112 113 76 16 31 0 127 0 127 126,1
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,1536 0 1808 1553 3 240 652 0 0 12 0 0 0,0
I HAVE A DATE ON SUNDAY WITH WILL!!,0 0,0
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0 27 38 29 1 0 8 63 33 0 20 0 0 51 0 27 0 0,1
Oh k...i'm watching here:),0 30,0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,111 66 40 0 31 60 32,0
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,258 4 0 0,0
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",12028 7168 515 0 0 0 5420 0,1
Is that seriously how you spell his name?,561152,0
IÛ÷m going to try for 2 months ha ha only joking,4096 2306,0
